date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:15	253590/253590	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:01%20GMT	http://demo.devitems.com/mirora-v2/mirora/index.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/index.html	(from )
19:51:16	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2010%20Feb%202019%2018:46:27%20GMT	http://demo.devitems.com/robots.txt		(from )
19:51:16	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/favicon.ico	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/favicon.ico	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:16	4029/4029	---M--	200	added ('OK')	image/png	etag:%227676155efec287aaaa1b78ea9a79120d%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/icon.png	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/icon.png	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:17	140936/140936	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Oct%202018%2013:19:49%20GMT	http://demo.devitems.com/mirora-v2/mirora/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/css/bootstrap.min.css	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:17	42781/42781	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Oct%202018%2013:19:51%20GMT	http://demo.devitems.com/mirora-v2/mirora/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/css/font-awesome.min.css	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:17	25252/25252	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Oct%202018%2013:19:49%20GMT	http://demo.devitems.com/mirora-v2/mirora/assets/css/elegent-icons.css	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/css/elegent-icons.css	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:18	33373/33373	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Oct%202018%2013:19:52%20GMT	http://demo.devitems.com/mirora-v2/mirora/assets/css/plugins.css	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/css/plugins.css	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:19	191822/191822	---MCZ	200	added ('OK')	text/css	date:Tue,%2030%20Oct%202018%2013:19:52%20GMT	http://demo.devitems.com/mirora-v2/mirora/assets/css/main.css	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/css/main.css	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:19	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sun,%2010%20Feb%202019%2018:51:19%20GMT	http://demo.devitems.com/mirora-v2/mirora/twitter.com	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/twitter.com	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
